DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2018,69.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,CZ,2019,71.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,1997,80.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,1998,79.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,1999,79.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2000,78,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2001,75.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2002,74.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2003,70.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2004,69.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2005,68.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2006,66.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2007,66.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2008,70.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2009,73.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2010,72.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2011,71.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2012,71.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2013,71.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2014,71.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2015,69.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2016,70.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2017,69.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2018,68.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DE,2019,63.2,b
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,1997,40.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,DK,1998,50,
